title,console,genre,publisher,critic_score,total_sales,release_date,last_update
Grand Theft Auto V,PS3,Action,Rockstar Games,9.4,20.32,9/17/2013,
Grand Theft Auto V,PS4,Action,Rockstar Games,9.7,19.39,11/18/2014,1/3/2018
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,9.6,16.15,10/28/2002,
Grand Theft Auto V,X360,Action,Rockstar Games,,15.86,9/17/2013,
Call of Duty: Black Ops 3,PS4,Shooter,Activision,8.1,15.09,11/6/2015,1/14/2018
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,8.7,14.82,11/8/2011,
Call of Duty: Black Ops,X360,Shooter,Activision,8.8,14.74,11/9/2010,
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,9.8,13.94,10/26/2018,11/2/2018
Call of Duty: Black Ops II,X360,Shooter,Activision,8.4,13.86,11/13/2012,4/7/2018
Call of Duty: Black Ops II,PS3,Shooter,Activision,8,13.8,11/13/2012,4/7/2018
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5,13.53,11/10/2009,
Call of Duty: WWII,PS4,Shooter,Activision,8.1,13.4,11/3/2017,12/31/2017
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,8.8,13.35,11/8/2011,
Grand Theft Auto III,PS2,Action,Rockstar Games,9.5,13.1,10/23/2001,
Call of Duty: Black Ops,PS3,Shooter,Activision,8.7,12.67,11/9/2010,
FIFA 18,PS4,Sports,EA Sports,8.3,11.8,9/29/2017,4/2/2018
Grand Theft Auto IV,X360,Action,Rockstar Games,10,11.09,4/29/2008,
FIFA 17,PS4,Sports,Electronic Arts,8.9,10.94,9/27/2016,3/28/2018
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,9.5,10.61,11/10/2009,
Grand Theft Auto IV,PS3,Action,Rockstar Games,10,10.57,4/29/2008,
Call of Duty: Ghosts,X360,Shooter,Activision,6.9,10.41,11/5/2013,3/21/2018
Call of Duty: Ghosts,PS3,Shooter,Activision,7.5,10.13,11/5/2013,3/21/2018
Halo: Reach,X360,Shooter,Microsoft Game Studios,9.3,9.97,9/14/2010,10/11/2018
Halo 4,X360,Shooter,Microsoft Studios,,9.96,11/6/2012,
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.6,9.41,11/5/2007,
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,,9.32,10/12/2018,11/7/2018
FIFA 19,PS4,Sports,Electronic Arts,,9.15,9/28/2018,9/12/2018
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,9.3,8.88,11/11/2011,4/1/2018
Grand Theft Auto V,XOne,Action,Rockstar Games,9,8.72,11/18/2014,4/11/2018
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,7.9,8.48,11/4/2016,1/14/2018
Fallout 4,PS4,Role-Playing,Bethesda Softworks,8.6,8.48,11/10/2015,3/24/2018
FIFA 16,PS4,Sports,EA Sports,8.5,8.22,9/22/2015,4/1/2018
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,7.1,8.03,11/17/2015,3/24/2018
FIFA 13,PS3,Sports,EA Sports,,8.01,9/25/2012,4/6/2018
The Sims 3,PC,Simulation,Electronic Arts,8.5,7.96,6/2/2009,
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,8.8,7.72,10/25/2005,
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,8.5,7.53,11/4/2014,1/4/2018
Call of Duty: World at War,X360,Shooter,Activision,8.5,7.5,11/10/2008,
Call of Duty: Black Ops 3,XOne,Shooter,Activision,,7.37,11/6/2015,1/14/2018
Battlefield 3,X360,Shooter,Electronic Arts,8.5,7.35,10/25/2011,
Battlefield 1,PS4,Shooter,Electronic Arts,9.1,7.26,10/21/2016,3/24/2018
Battlefield 3,PS3,Shooter,Electronic Arts,8.5,7.21,10/25/2011,
Need for Speed Underground,PS2,Racing,Electronic Arts,8.6,7.2,11/17/2003,
Need for Speed Underground 2,PS2,Racing,Electronic Arts,8.3,6.9,11/15/2004,
Just Dance 4,Wii,Music,Ubisoft,,6.89,10/9/2012,1/31/2018
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,9,6.83,5/28/2002,
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,9.5,6.74,10/13/2009,
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,9.5,6.72,11/5/2007,
FIFA Soccer 12,PS3,Sports,EA Sports,9.2,6.65,9/27/2011,
FIFA 14,PS3,Sports,EA Sports,,6.61,9/24/2013,9/15/2018
Red Dead Redemption,PS3,Action,Rockstar Games,9.5,6.57,10/11/2011,
Red Dead Redemption,X360,Action,Rockstar Games,9.5,6.5,5/18/2010,
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,8.8,6.5,10/30/2012,4/12/2018
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,9,6.49,11/11/2011,4/1/2018
Minecraft,PS4,Misc,Sony Computer Entertainment,9.4,6.33,10/7/2014,9/14/2018
FIFA 15,PS4,Sports,EA Sports,8.1,6.32,9/23/2014,3/23/2018
Driver,PS,Action,GT Interactive,8.5,6.27,6/30/1999,
Call of Duty: WWII,XOne,Shooter,Activision,,6.23,11/3/2017,12/30/2017
Minecraft,PS3,Misc,Sony Computer Entertainment America,,6.05,5/16/2014,8/5/2018
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,,5.77,10/26/2018,11/2/2018
Destiny,PS4,Shooter,Activision,,5.76,9/9/2014,1/12/2018
Tekken 2,PS,Fighting,Namco,9.1,5.74,8/25/1996,
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,8,5.66,11/6/2007,
Cooking Mama,DS,Simulation,Majesco,6.6,5.66,9/12/2006,
Assassin's Creed II,PS3,Action,Ubisoft,9,5.57,11/17/2009,1/3/2018
Assassin's Creed,X360,Action,Ubisoft,8.2,5.55,11/13/2007,
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,9.6,5.54,10/18/2011,
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,9.2,5.5,10/27/2009,
Call of Duty: World at War,PS3,Shooter,Activision,8.4,5.43,11/10/2008,
Minecraft,XOne,Misc,Microsoft Studios,,5.43,11/18/2014,9/14/2018
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6.9,5.42,10/29/2001,
Final Fantasy XIII,PS3,Role-Playing,Square Enix,8,5.35,3/9/2010,
Assassin's Creed III,X360,Action-Adventure,Ubisoft,,5.31,10/30/2012,2/7/2018
Assassin's Creed II,X360,Action,Ubisoft,9.1,5.3,11/17/2009,
Tomb Raider II,PS,Adventure,Eidos Interactive,7.6,5.24,10/31/1997,
Madden NFL 2004,PS2,Sports,EA Sports,9.5,5.23,8/12/2003,
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8.3,5.22,11/4/2014,1/1/2018
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.9,5.13,11/11/2003,
Battlefield 1,XOne,Shooter,Electronic Arts,9.3,5.13,10/21/2016,3/24/2018
Microsoft Flight Simulator,PC,Simulation,Microsoft,7,5.12,10/31/1996,
Guitar Hero II,PS2,Misc,RedOctane,9.2,5.12,11/7/2006,
FIFA 13,X360,Sports,EA Sports,,5.11,9/25/2012,4/6/2018
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7,5.1,1/22/2008,
Fable III,X360,Role-Playing,Microsoft Game Studios,7.8,5.1,10/26/2010,
Resident Evil 5,PS3,Action,Capcom,8.6,5.1,3/13/2009,
FIFA Soccer 11,PS3,Sports,EA Sports,8.7,5.08,9/28/2010,
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8.4,5.08,10/31/2006,
Final Fantasy XV,PS4,Role-Playing,Square Enix,8.1,5.07,11/29/2016,5/4/2018
Fallout 4,XOne,Role-Playing,Bethesda Softworks,8.4,5.03,11/10/2015,3/24/2018
Tony Hawk's Pro Skater,PS,Sports,Activision,9.6,5.02,8/31/1999,
Warzone 2100,PS,Strategy,Eidos Interactive,,5.01,5/31/1999,
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8.2,4.98,10/28/2007,
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8.7,4.97,11/16/2007,
Fallout 3,X360,Role-Playing,Bethesda Softworks,9,4.96,10/28/2008,
Madden NFL 06,PS2,Sports,EA Sports,9.1,4.91,8/8/2005,
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,,4.85,10/12/2018,11/7/2018
Assassin's Creed,PS3,Action,Ubisoft,8.2,4.83,11/13/2007,
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,,4.83,6/30/2017,9/23/2018
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,,4.79,11/4/2016,3/24/2018
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9.2,4.79,9/30/1999,
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7.8,4.77,11/6/2007,
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9.5,4.75,10/18/2011,
Driver 2,PS,Action,Atari,7,4.73,11/13/2000,
The Simpsons: Hit & Run,PS2,Racing,VU Games,7.7,4.7,9/16/2003,
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9.3,4.68,9/20/2000,
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8.3,4.67,10/21/2002,
Tomb Raider,PS,Action,Eidos Interactive,8.9,4.63,11/14/1996,
Forza Motorsport 4,X360,Racing,Microsoft Studios,9.1,4.6,10/11/2011,
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8.6,4.6,10/28/2007,
FIFA 15,PS3,Sports,EA Sports,6.9,4.56,9/23/2014,3/23/2018
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,6.8,4.54,10/13/2009,
Overwatch,PS4,Shooter,Blizzard Entertainment,8.8,4.54,5/24/2016,3/24/2018
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,8.7,4.53,10/28/2007,
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,,4.53,11/17/2017,12/29/2017
Madden NFL 2005,PS2,Sports,EA Sports,9.5,4.53,8/9/2004,
Spider-Man: The Movie,PS2,Action,Activision,8.2,4.48,4/15/2002,
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,9.2,4.47,7/7/2009,
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9.1,4.41,10/28/2001,
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8.8,4.39,2/6/2007,
Tom Clancy's The Division,PS4,Shooter,Ubisoft,,4.37,3/8/2016,5/4/2018
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8.6,4.37,11/15/2005,
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5.6,4.37,11/23/2010,
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,,4.36,12/1/2015,
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9.1,4.34,11/4/2014,1/4/2018
Watch Dogs,PS4,Action-Adventure,Ubisoft,,4.32,5/27/2014,3/15/2018
Asteroids,2600,Shooter,Atari,,4.31,1/1/1981,
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9,4.28,8/25/2009,
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9.1,4.27,11/4/2014,1/4/2018
Namco Museum,GBA,Misc,Namco,,4.24,6/10/2001,
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8.8,4.23,11/15/2011,
Assassin's Creed: Revelations,X360,Action,Ubisoft,7.9,4.22,11/15/2011,
FIFA Soccer 06,PS2,Sports,EA Sports,8.4,4.21,10/4/2005,
Street Fighter IV,PS3,Fighting,Capcom,9.3,4.19,2/17/2009,
FIFA Soccer 12,X360,Sports,EA Sports,9.2,4.18,9/27/2011,
Call of Duty: Ghosts,PS4,Shooter,Activision,7.5,4.17,11/15/2013,3/21/2018
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5.9,4.17,6/1/1989,
