FIPS Code,State,Area name,Attribute,Value
1029,AL,Cleburne County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.21195102
1007,AL,Bibb County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.46820664
1071,AL,Jackson County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.55027712
1063,AL,Greene County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.47629882
1133,AL,Winston County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.37202486
1017,AL,Chambers County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.58503512
1095,AL,Marshall County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.32640991
1013,AL,Butler County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.76481313
1087,AL,Macon County,"Percent of adults with a bachelor's degree or higher, 2019-23",20.73578595
2198,AK,Prince of Wales-Hyder Census Area,"Percent of adults with a bachelor's degree or higher, 2019-23",16.98389458
2282,AK,Yakutat City and Borough,"Percent of adults with a bachelor's degree or higher, 2019-23",14.8241206
2164,AK,Lake and Peninsula Borough,"Percent of adults with a bachelor's degree or higher, 2019-23",18.40490798
2020,AK,Anchorage Municipality,"Percent of adults with a bachelor's degree or higher, 2019-23",37.67890075
2170,AK,Matanuska-Susitna Borough,"Percent of adults with a bachelor's degree or higher, 2019-23",24.28031961
2122,AK,Kenai Peninsula Borough,"Percent of adults with a bachelor's degree or higher, 2019-23",29.39084142
2016,AK,Aleutians West Census Area,"Percent of adults with a bachelor's degree or higher, 2019-23",17.52104055
2013,AK,Aleutians East Borough,"Percent of adults with a bachelor's degree or higher, 2019-23",18.14345992
2240,AK,Southeast Fairbanks Census Area,"Percent of adults with a bachelor's degree or higher, 2019-23",19.57637997
4007,AZ,Gila County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.847189
4027,AZ,Yuma County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.67198836
4015,AZ,Mohave County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.88545564
4017,AZ,Navajo County,"Percent of adults with a bachelor's degree or higher, 2019-23",17.63149466
4001,AZ,Apache County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.26852353
4023,AZ,Santa Cruz County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.06951855
4025,AZ,Yavapai County,"Percent of adults with a bachelor's degree or higher, 2019-23",29.60225254
4012,AZ,La Paz County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.85510312
4003,AZ,Cochise County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.65771519
5115,AR,Pope County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.63614458
5071,AR,Johnson County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.07736721
5001,AR,Arkansas County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.32646048
5041,AR,Desha County,"Percent of adults with a bachelor's degree or higher, 2019-23",13.03478609
5109,AR,Pike County,"Percent of adults with a bachelor's degree or higher, 2019-23",19.56000564
5087,AR,Madison County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.83851555
